image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_04181.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_06673.jpg,0.480557,0.01,0.492248,0.01,0.0102886,0.01,0.01,0.0163161
img_02687.jpg,0.163501,0.01,0.01,0.01,0.0320542,0.01,0.01,0.5
img_06369.jpg,0.484509,0.150332,0.01,0.01,0.0390642,0.01,0.01,0.326021
img_02281.jpg,0.245868,0.0738769,0.01,0.01,0.0181504,0.5,0.01,0.01
img_06186.jpg,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01
img_05692.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5
img_05539.jpg,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.01
img_02876.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5
img_03711.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.0977077
img_06273.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_04268.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_04427.jpg,0.297822,0.01,0.409768,0.01,0.01,0.01,0.01,0.292341
img_03210.jpg,0.01,0.01,0.5,0.01,0.01,0.01,0.01,0.01
img_00071.jpg,0.5,0.01,0.01,0.0184907,0.01,0.01,0.01,0.01
img_03043.jpg,0.0580554,0.01,0.01,0.01,0.01,0.0541445,0.01,0.5
img_04503.jpg,0.0521033,0.01,0.01,0.01,0.5,0.01,0.01,0.0721183
img_06371.jpg,0.216717,0.01,0.466766,0.01,0.01,0.01,0.0616617,0.246786
img_00833.jpg,0.41724,0.01,0.01,0.01,0.0588392,0.5,0.01,0.01
img_00280.jpg,0.5,0.01,0.01,0.01,0.028169,0.01,0.01,0.01
img_06137.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5
img_00007.jpg,0.125032,0.01,0.01,0.5,0.01,0.01,0.01,0.01
img_06469.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_05958.jpg,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.271055
img_05475.jpg,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01
img_00170.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_00723.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.0741562
img_07319.jpg,0.0207235,0.01,0.01,0.01,0.01,0.01,0.01,0.5
img_02188.jpg,0.272752,0.01,0.5,0.01,0.01,0.01,0.01,0.222457
img_03140.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_01834.jpg,0.01,0.01,0.5,0.01,0.01,0.01,0.01,0.01
img_03399.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_03454.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_00027.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01
img_00718.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_07426.jpg,0.5,0.01,0.01,0.01,0.0796922,0.01,0.01,0.400911
img_00773.jpg,0.236761,0.01,0.01,0.01,0.01,0.01,0.01,0.5
img_06658.jpg,0.473255,0.0469107,0.0607429,0.01,0.01,0.01,0.0104569,0.392015
img_07409.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_07905.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_07191.jpg,0.5,0.01,0.01,0.01,0.019636,0.01,0.01,0.01
img_04888.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_04285.jpg,0.5,0.01,0.01,0.01,0.122887,0.01,0.01,0.191209
img_04375.jpg,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01
img_02347.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_00979.jpg,0.0720649,0.01,0.5,0.01,0.01,0.01,0.01,0.01
img_04036.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5
img_00612.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_06946.jpg,0.5,0.01,0.01,0.01,0.0298246,0.01,0.01,0.01
img_01543.jpg,0.5,0.01,0.01,0.01,0.142974,0.01,0.01,0.01
img_01325.jpg,0.5,0.01,0.01,0.01,0.422849,0.01,0.01,0.01
img_00584.jpg,0.5,0.01,0.01,0.01,0.075646,0.01,0.01,0.01
img_03346.jpg,0.5,0.01,0.01,0.01,0.11761,0.0229305,0.01,0.01
img_05731.jpg,0.0974544,0.01,0.0377158,0.01,0.5,0.01,0.01,0.01
img_07023.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.434038
img_01966.jpg,0.5,0.14732,0.01,0.0144171,0.01,0.0257687,0.01,0.01
img_05548.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_03228.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_00654.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_07467.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_02096.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_02733.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_07005.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_04814.jpg,0.01,0.01,0.5,0.01,0.01,0.01,0.01,0.020745
img_05572.jpg,0.01,0.0124632,0.01,0.01,0.01,0.01,0.01,0.5
img_05794.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_03135.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.139104
img_06522.jpg,0.5,0.01,0.01,0.01,0.0345815,0.01,0.01,0.393725
img_03527.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5
img_02702.jpg,0.297038,0.01,0.5,0.01,0.01,0.01,0.01,0.01
img_02651.jpg,0.5,0.01,0.01,0.01,0.0133754,0.01,0.01,0.01
img_03439.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_01289.jpg,0.5,0.051387,0.0210433,0.01,0.01,0.01,0.01,0.0109959
img_01441.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5
img_04532.jpg,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01
img_02911.jpg,0.5,0.01,0.01,0.01,0.01048,0.0324577,0.01,0.01
img_07051.jpg,0.01,0.0181343,0.01,0.01,0.01,0.5,0.0282686,0.0130769
img_03446.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5
img_02356.jpg,0.01,0.01,0.5,0.01,0.01,0.01,0.01,0.282507
img_01405.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_05244.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_03946.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_02739.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_01168.jpg,0.147731,0.01,0.01,0.01,0.01,0.5,0.01,0.256295
img_01103.jpg,0.0619339,0.143276,0.01,0.01,0.01,0.01,0.01,0.5
img_02422.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_05260.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_06510.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_06698.jpg,0.441022,0.01,0.01,0.01,0.01,0.5,0.01,0.0585325
img_04145.jpg,0.5,0.01,0.01,0.01,0.01,0.372805,0.01,0.056425
img_06611.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5
img_01684.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01
img_06021.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5
img_05775.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_01373.jpg,0.496873,0.0487273,0.01,0.01,0.105375,0.01,0.01,0.348969
img_06332.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.0181281
img_00914.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5
img_06690.jpg,0.0214294,0.01,0.18785,0.01,0.01,0.01,0.01,0.5
img_05813.jpg,0.397184,0.01,0.01,0.5,0.01,0.01,0.01,0.01
img_07538.jpg,0.165323,0.01,0.01,0.01,0.01,0.01,0.5,0.01
img_04271.jpg,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01
img_05268.jpg,0.384464,0.01,0.01,0.01,0.01,0.5,0.01,0.0317021
img_07146.jpg,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01
img_06662.jpg,0.0474417,0.01,0.01,0.01,0.5,0.01,0.01,0.0509152
img_00232.jpg,0.01,0.0410691,0.01,0.01,0.01,0.01,0.5,0.01
img_06272.jpg,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01
img_00966.jpg,0.5,0.01,0.01,0.01,0.12633,0.01,0.01,0.301761
img_04422.jpg,0.0350232,0.5,0.01,0.01,0.0106268,0.0160858,0.01,0.0607602
img_04991.jpg,0.142195,0.01,0.01,0.01,0.01,0.5,0.01,0.344775
img_03064.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_06936.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.0140744
img_05293.jpg,0.01,0.5,0.01,0.01,0.01,0.01,0.01,0.01
img_05276.jpg,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.16178
img_06849.jpg,0.0236479,0.01,0.01,0.01,0.01,0.01,0.01,0.5
img_00018.jpg,0.5,0.01,0.01,0.01,0.0168941,0.112406,0.01,0.01
img_06368.jpg,0.5,0.01,0.01,0.01,0.01,0.0101862,0.01,0.0170582
img_04130.jpg,0.5,0.01,0.01,0.01,0.280584,0.01,0.01,0.0185005
img_03923.jpg,0.0924688,0.01,0.01,0.01,0.5,0.01,0.01,0.01
img_05186.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.0886872
img_07231.jpg,0.5,0.01,0.01,0.01,0.172044,0.01,0.01,0.149861
img_04962.jpg,0.01,0.01,0.178531,0.01,0.01,0.01,0.01,0.5
img_07893.jpg,0.0216978,0.01,0.01,0.01,0.01,0.01,0.5,0.01
img_07044.jpg,0.0784385,0.01,0.01,0.01,0.0285853,0.01,0.01,0.5
img_02318.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5
img_00380.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.0364664
img_04306.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_01058.jpg,0.103147,0.01,0.01,0.01,0.01,0.01,0.01,0.5
img_07419.jpg,0.5,0.01,0.0219829,0.01,0.01,0.072015,0.01,0.243139
img_00765.jpg,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01
img_01831.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_03055.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_04136.jpg,0.5,0.01,0.0119819,0.01,0.01,0.01,0.01,0.01
img_05064.jpg,0.5,0.01,0.01,0.01,0.0155344,0.01,0.01,0.01
img_05463.jpg,0.474775,0.139029,0.01,0.01,0.01,0.01,0.133607,0.252204
img_04811.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5
img_03229.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01
img_07122.jpg,0.5,0.01,0.01,0.01,0.01,0.248745,0.01,0.01
img_07833.jpg,0.5,0.01,0.01,0.01,0.01,0.0126802,0.01,0.0277082
img_07553.jpg,0.5,0.01,0.01,0.01,0.0359793,0.01,0.01,0.0115552
img_03952.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_02949.jpg,0.5,0.01,0.01,0.01,0.01,0.0122271,0.01,0.01
img_06489.jpg,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01
img_03652.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_06547.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_07137.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_03290.jpg,0.0852196,0.01,0.01,0.01,0.01,0.01,0.01,0.5
img_03087.jpg,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01
img_00798.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_01633.jpg,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01
img_07110.jpg,0.275074,0.01,0.01,0.01,0.01,0.5,0.01,0.01
img_06555.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_05828.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_02216.jpg,0.5,0.01,0.01,0.01,0.0115417,0.01,0.01,0.01
img_00446.jpg,0.439899,0.01,0.01,0.01,0.0152366,0.5,0.01,0.01
img_05074.jpg,0.5,0.01,0.01,0.01,0.0553353,0.01,0.01,0.01
img_03082.jpg,0.5,0.01,0.01,0.01,0.105879,0.01,0.01,0.14507
img_02842.jpg,0.5,0.01,0.01,0.01,0.0807185,0.01,0.01,0.0225984
img_04603.jpg,0.5,0.0602576,0.01,0.01,0.0116807,0.01,0.01,0.01
img_01204.jpg,0.0249396,0.0181761,0.01,0.01,0.5,0.01,0.01,0.157112
img_01116.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_06189.jpg,0.5,0.01,0.01,0.01,0.03652,0.01,0.01,0.01
img_05021.jpg,0.5,0.01,0.0186697,0.01,0.367673,0.01,0.01,0.01
img_01377.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_06076.jpg,0.5,0.480722,0.01,0.01,0.01,0.01,0.01,0.01
img_05454.jpg,0.417852,0.01,0.01,0.01,0.211347,0.01,0.01,0.370549
img_03602.jpg,0.5,0.01,0.01,0.01,0.0950581,0.01,0.01,0.0330713
img_02734.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_01328.jpg,0.5,0.01,0.01,0.01,0.0401242,0.01,0.01,0.01
img_02001.jpg,0.5,0.01,0.01,0.01,0.01,0.42287,0.01,0.0214993
img_04453.jpg,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.0141946
img_00865.jpg,0.5,0.01,0.01,0.01,0.0321567,0.01,0.01,0.066997
img_07157.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_00943.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_05156.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_06099.jpg,0.449009,0.01,0.01,0.01,0.5,0.01,0.01,0.01
img_03440.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5
img_01802.jpg,0.5,0.0105476,0.01,0.01,0.0101749,0.01,0.01,0.01
img_04419.jpg,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01
img_05950.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_04562.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5
img_07270.jpg,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01
img_07508.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_02749.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_00757.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_00729.jpg,0.5,0.01,0.01,0.01,0.0124136,0.01,0.01,0.01
img_03014.jpg,0.0103385,0.01,0.01,0.01,0.5,0.01,0.01,0.0855614
img_07318.jpg,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.0896655
img_05222.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_03847.jpg,0.5,0.01,0.01,0.01,0.040338,0.0125927,0.01,0.01
img_03677.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_06261.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_03169.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5
img_07065.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_06311.jpg,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01
img_03967.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_06681.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_00716.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.318534
img_03475.jpg,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.01
img_00772.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5
img_00417.jpg,0.0984904,0.01,0.01,0.01,0.025879,0.01,0.01,0.5
img_01249.jpg,0.13912,0.01,0.01,0.01,0.5,0.01,0.01,0.0123541
img_04740.jpg,0.5,0.01,0.01,0.01,0.0112906,0.01,0.01,0.01
img_03504.jpg,0.0203749,0.01,0.01,0.01,0.01,0.5,0.01,0.01
img_05196.jpg,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01
img_01541.jpg,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.0763416
img_00587.jpg,0.34215,0.102494,0.01,0.01,0.01,0.01,0.01,0.5
img_02565.jpg,0.221875,0.01,0.01,0.01,0.0105011,0.127327,0.0614815,0.5
img_04432.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.0121582
img_03422.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_05426.jpg,0.374969,0.01,0.01,0.01,0.5,0.01,0.01,0.0733399
img_01932.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_06321.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.033103
img_00493.jpg,0.0103138,0.01,0.01,0.01,0.5,0.01,0.01,0.01
img_06614.jpg,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.01
img_06065.jpg,0.5,0.0595062,0.01,0.01,0.01,0.01,0.01,0.0116264
img_00285.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_00376.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.025409,0.0232119
img_07746.jpg,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01
img_03588.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_06318.jpg,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01
img_07251.jpg,0.0384036,0.0971266,0.01,0.01,0.01,0.01,0.5,0.0629048
img_03809.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_06001.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_00551.jpg,0.210851,0.01,0.01,0.0496232,0.01,0.5,0.01,0.01
img_02974.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_03929.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_07147.jpg,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.0318166
img_02400.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_04204.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5
img_02764.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_06902.jpg,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01
img_00760.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_05479.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_05824.jpg,0.0607735,0.5,0.0374748,0.01,0.0179717,0.01,0.01,0.121431
img_00837.jpg,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01
img_04661.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_07616.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_03078.jpg,0.5,0.01,0.01,0.01,0.01,0.016002,0.01,0.01
img_00664.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_07623.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_05584.jpg,0.5,0.01,0.0243626,0.01,0.01,0.01,0.01,0.01
img_04156.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_05241.jpg,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.01
img_02209.jpg,0.5,0.01,0.01,0.01,0.0158273,0.01,0.01,0.0174074
img_00175.jpg,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.01
img_01548.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_03974.jpg,0.5,0.01,0.01,0.01,0.041853,0.01,0.01,0.01
img_05349.jpg,0.01,0.5,0.01,0.01,0.01,0.01,0.01,0.01
img_02299.jpg,0.0389929,0.01,0.01,0.5,0.01,0.01,0.01,0.01
img_03181.jpg,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01
img_04382.jpg,0.01,0.5,0.01,0.01,0.01,0.01,0.01,0.203672
img_03941.jpg,0.14763,0.01,0.01,0.0748525,0.01,0.5,0.01,0.01
img_04257.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_07045.jpg,0.5,0.01,0.01,0.01,0.411837,0.01,0.01,0.01
img_06783.jpg,0.286611,0.0181593,0.01,0.01,0.01,0.01,0.01,0.5
img_00230.jpg,0.5,0.01,0.01,0.01,0.01,0.0273612,0.01,0.01
img_07818.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.0100623
img_03886.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.0247291
img_06147.jpg,0.5,0.0504848,0.01,0.01,0.01,0.01,0.01,0.01
img_00138.jpg,0.5,0.359503,0.01,0.01,0.01,0.01,0.01,0.0729311
img_00487.jpg,0.0540767,0.01,0.01,0.01,0.5,0.0290299,0.0352067,0.0290603
img_07187.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.0179662
img_04830.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_04885.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_00676.jpg,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.374138
img_07543.jpg,0.0344186,0.01,0.01,0.01,0.5,0.01,0.01,0.01
img_02412.jpg,0.496125,0.01,0.0974011,0.01,0.01,0.01,0.01,0.402989
